Entry ID	LNIC Code	Entity-Type	Subtype(s)	Vocabulary	Code	Vocabulary Preferred Name	Mapping_type	Mapping confidence	Version
012	LNIC-020-012	ISFN		ICD10CM	D47.Z9	Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	broader	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
012	LNIC-020-012	ISFN		UMLS	C4524188	In situ follicular neoplasia	exact	High	2026AA
012	LNIC-020-012	ISFN		ICD10	D47.7	Other specified neoplasms of uncertain or unknown behavior of lymphoid, hematopoietic, and related tissue	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
012	LNIC-020-012	ISFN		ICDO4	96950/1	In situ follicular B-cell neoplasm	exact	High	International Classification of Diseases for Oncology, Fourth Edition
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICDO3	9690/3	Follicular lymphoma, NOS 	exact	Moderate	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICDO3	9691/3	Follicular lymphoma, grade 2 	narrower	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICDO3	9695/3	Follicular lymphoma, grade 1 	narrower	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICDO3	9698/3	Follicular lymphoma, grade 3 	narrower	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD9	202.0	Nodular lymphoma	broader	Moderate	International Classification of Diseases, Ninth Revision (ICD-9)
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.2_	Follicular lymphoma grade III, unspecified	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.9_	Follicular lymphoma, unspecified	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.8_	Other types of follicular lymphoma	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.0A	Follicular lymphoma, grade I, in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.0_	Follicular lymphoma grade I	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.1A	Follicular lymphoma grade II, in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.1_	Follicular lymphoma grade II	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.2A	Follicular lymphoma grade III, unspecified, in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.3A	Follicular lymphoma grade IIIa, in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.3_	Follicular lymphoma grade IIIa	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.4A	Follicular lymphoma grade IIIb, in remission	narrower	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
013	LNIC-100-013	FL	Classic FL(cFL), FL with unusual cytological features (uFL), FL with a predominantly diffuse growth pattern (dFL), follicular large B-cell lymphoma (FLBCL)	ICD10CM	C82.4_	Follicular lymphoma grade IIIb	narrower	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
